category,points,question,answer
Candy Corner,100,This red and white striped candy is shaped like a hook and tastes like peppermint.,What is a candy cane?
Candy Corner,200,These colorful chewy bears come in different flavors and you can bite their heads off!,What are gummy bears?
Candy Corner,300,This chocolate bar has the same name as a galaxy where Earth is located.,What is a Milky Way?
Candy Corner,400,"This candy bar is named after a baseball player and contains peanuts, caramel, and nougat.",What is a Baby Ruth?
Candy Corner,500,"What candy has a ""secret formula"" and often makes your mouth tingle and pop? ",What are Pop Rocks?
Pet Pals,100,What common pet needs a special heat lamp in its enclosure to stay warm?,What is a reptile?
Pet Pals,200,"What is the term for a cat's long, stiff hairs that help it feel its surroundings?",What are whiskers?
Pet Pals,300,This small pet runs on a wheel at night and can store food in its cheek pouches.,What is a hamster?
Pet Pals,400,This reptile pet can change colors has a long sticky tongue and moves its eyes independently.,What is a chameleon?
Pet Pals,500,"What incredible ability do dogs possess that allows specially trained ones to detect things like certain diseases (even cancer or low blood sugar) or tiny traces of substances, just by sniffing?",What is a Sense of Smell?
Fun Places,100,"This place has sand, wave, and and you can build castles there. ",What is a beach?
Fun Places,200,"What famous theme park, often called ""The Happiest Place on Earth,"" and is home to Sleeping Beauty's Castle?",What is Disneyland
Fun Places,300,"This place displays art, scultures, and historical artifacts for people to learn about culture.",What is a museum?
Fun Places,400,"What outdoor place is a large, wild area, often protected by the government, where you can camp, hike, and see wildlife in its natural habitat?",What is a national park?
Fun Places,500,This place is where astronomers study stars and planets and visitors can look through powerful telescopes.,What is an observatory (or planetarium)?
Playground Games,100,"In this game, one person is 'it' and tries to touch other players.",What is tag?
Playground Games,200,"What's the game where you stand in a circle and pass a ball or object around, trying not to be the one holding it when the music stops?",What is Hot potatoe?
Playground Games,300,"In this large-field team game, the goal is to sneak into the opponent's territory to retrieve a specific object while protecting your own.",What is Capture the Flag?
Playground Games,400,This traditional game involves throwing small objects and picking them up while bouncing a ball.,What is Simon Says?
Playground Games,500,This ancient game originated in Egypt and involves throwing stones or beanbags into numbered sections drawn on the ground using chalk.,What is hopscotch?
Summer Camp Fun,100,What do you call the temporary home you set up with poles and fabric when you go camping?,What is a tent?
Summer Camp Fun,200,"What yummy, gooey treat do you make over a campfire with chocolate, graham crackers, and marshmallows?",What are S'Mores?
Summer Camp Fun,300,What do you follow on the ground to stay on the right path when you're hiking in the woods?,What is a trail?
Summer Camp Fun,400,"What specific piece of equipment helps you figure out which direction is North, South, East, or West if you get lost?",What is a compass?
Summer Camp Fun,500,"What are the three main things you need to build a fire (often called the ""fire triangle"")?","What are Fuel (wood, tinder), Heat (spark, flame), and Oxygen?"
Movie Magic,100,This Disney movie features a princess with very long golden hair.,What is Tangled?
Movie Magic,200,"In this Pixar movie, a young boy named Miguel travels to the Land of the Dead.",What is Coco?
Movie Magic,300,"In Frozen, what is the name of Elsa's magical snowman friend?",What is Olaf?
Movie Magic,400,What French city is Ratatouille set in?,What is Paris?
Movie Magic,500,What emotion is colored yellow and leads the emotions in Inside Out?,What is Joy?